invoice_number,pages_included,page_count,output_file
716092858,22;23;24,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/716092858.pdf
720362717,26;27;28;29,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/720362717.pdf
721003940,6;7;8,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721003940.pdf
721069447,19;20,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721069447.pdf
721234966,15;16;17,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721234966.pdf
721517609,1;2;3;4,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721517609.pdf
721531614,10;11;12;13,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721531614.pdf
721583226,31;32;33,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721583226.pdf
721605248,35;36;37,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721605248.pdf
721605249,39;40;41;42,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_2_unique_invoice_pages/721605249.pdf
