invoice_number,pages_included,page_count,output_file
717627960,5;6;7,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/717627960.pdf
717627961,9;10;11;12,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/717627961.pdf
721061557,14;15,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/721061557.pdf
721566259,1;2;3,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/721566259.pdf
721569293,17;18;19;20,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/721569293.pdf
721604159,35;36;37;38,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/721604159.pdf
721834845,40;41;42,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/721834845.pdf
722014707,22;23;24,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/722014707.pdf
722014708,26;27;28;29,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/722014708.pdf
722019403,31;32;33,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Nov2025_1_unique_invoice_pages/722019403.pdf
