invoice_number,pages_included,page_count,output_file
717965272,13;14;15,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/717965272.pdf
720876125,1;2;3,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/720876125.pdf
721227870,5;6;7,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721227870.pdf
721899324,9;10;11,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721899324.pdf
721919426,17;18;19,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721919426.pdf
721931389,21;22;23,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721931389.pdf
721931390,25;26,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721931390.pdf
721939012,28;29;30,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721939012.pdf
721953280,32;33;34,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721953280.pdf
721953281,36;37;38,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721953281.pdf
721953282,40;41;42,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721953282.pdf
721953283,44;45,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_2_unique_invoice_pages/721953283.pdf
