invoice_number,pages_included,page_count,output_file
710908645,20;21,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/710908645.pdf
711027462,44;45;46;47;48,5,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/711027462.pdf
716413265,50;51,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/716413265.pdf
720602688,37;38,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/720602688.pdf
720885499,5;6;7,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/720885499.pdf
721414569,9;10;11,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721414569.pdf
721448151,26;27;28;29;30,5,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721448151.pdf
721569076,17;18,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721569076.pdf
721629435,1;2;3,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721629435.pdf
721668623,13;14;15,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721668623.pdf
721695790,23;24,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721695790.pdf
721710225,32;33;34;35,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721710225.pdf
721723004,40;41;42,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721723004.pdf
721756807,53;54;55,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721756807.pdf
721776138,57;58,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721776138.pdf
721776139,60;61;62,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Sept2025_1_unique_invoice_pages/721776139.pdf
